[single] A7a daemon restart	claude-sdk	PASS the daemon was restarted at the same pinned sha with TOS still set and the same session recalled its pre-restart codeword. The restart waits for the turn to CLOSE first, and the status this row quotes is taken after a BOUNDED settle (idle reached in 3178ms) rather than sampled the instant the needle appeared -- an earlier revision recorded phase=working beside a PASS, which reads as a contradiction even though the verdict rested on the recall	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the codeword was sent and echoed back before the restart	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:44:47 CEST	POD-3047
[single] A7b hibernate and wake	claude-sdk	PASS hibernate parked the session, resurrect brought it live, and it recalled the pre-hibernate codeword. The park waits for idle: parking mid-turn drew a CORRECT product refusal ("agent is working, let it reach idle first") that an earlier revision scored as lost context. Status quoted after a bounded settle (idle in 3109ms)	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the codeword was sent and echoed back before hibernating; idle confirmed before parking	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:44:36 CEST	POD-3047
[single] A8 logged-out spawn -- FIRST VALID READING OF THIS CELL	claude-sdk	FAIL and this time the condition is REAL. After POD-3057 the SDK child runs in the instance agent home; with that home credential-free the session is genuinely logged out (product own readout: "Not logged in - Please run /login"), and the SDK spawn offers NO login path. The control is the PTY arm on the identical rig, pin and posture, which DOES show one -- so the rig can detect a login path when one exists. Previous FAILs for this cell were vacuous: the condition had never been created	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the product itself reported not-logged-in, and the PTY arm on the same rig showed a login path	yes named instance p3047n sole driver; posture: agent-home credential ABSENT (no-copy)	2026-08-28 18:53:41 CEST	POD-3047
[single] A9 kill session	claude-sdk	PASS with a turn in flight the session held a claude-sdk-host child; after sessions.kill it was gone in the first 500ms sample and still gone after a full 300s wait	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes a claude-sdk-host child was alive before the kill -- without one this cell cannot fail	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:45:17 CEST	POD-3047
[single] A10 driver identity	claude-sdk	PASS session reported driverId claude-sdk	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the session reported a driver identity after spawn	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:33:18 CEST	POD-3047
[single] B quota classification	claude-sdk	PASS a live turn succeeded and classified errorClass none with a null structured error	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the send delivered and the assistant needle arrived	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:43:40 CEST	POD-3047
[single] B auth classification	claude-sdk	FAIL same instrument and posture as A8 and the same real condition: genuinely logged out, no login path offered on the SDK path	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the product itself reported not-logged-in	yes named instance p3047n sole driver; posture: agent-home credential ABSENT (no-copy)	2026-08-28 18:54:50 CEST	POD-3047
[single] A10 driver identity (PTY comparison)	claude-pty	PASS session reported driverId claude-pty	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the session reported a driver identity after spawn	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:50:40 CEST	POD-3047
[single] A1a send while idle (PTY comparison)	claude-pty	PASS three idle sends each replied. FIRST TIME this cell has driven a real turn on the PTY arm -- earlier pins had it BLOCKED on authentication because the agent home was credential-free	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes 3/3 delivered with user and assistant needles on the terminal plane	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:52:05 CEST	POD-3047
[single] A2b status at boot (PTY comparison)	claude-pty	PASS a fresh terminal session reported phase idle at boot	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes sessions.create returned a row, viewer attached, driverId bound to claude-pty	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:51:06 CEST	POD-3047
[single] A6a terminal attach and type (PTY comparison)	claude-pty	PASS screen bytes on attach, the typed marker echoed, resize to 100x30 refit with the session row reporting that geometry, and a second viewer saw the same marker. This is the control that makes the claude-sdk A6a n/a meaningful rather than a dead rig	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the first native viewer received an attached terminal stream	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:51:32 CEST	POD-3047
[single] A8 logged-out spawn (PTY comparison) -- THE CONTROL FOR THE SDK FAIL	claude-pty	BLOCKED the terminal arm DOES reach a logged-out state and shows the login path: screen carries "Not logged in  Run /login" and classifies authentication. Completing external OAuth is outside this rig so the after-login clause is unmeasured -- but the presence of the path is exactly what the SDK arm lacks at the same pin and posture	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the terminal attached and the product itself reported the logged-out state	yes named instance p3047n sole driver; posture: agent-home credential ABSENT (no-copy)	2026-08-28 18:55:59 CEST	POD-3047
[single] B quota classification (PTY comparison)	claude-pty	BLOCKED provider classed as usage_limit; a reset was not observed as recovered within the cell. This is a genuine quota condition on the account, not an auth one, and it appeared late in the run	ad02520c22a9cba42db7fc1dd8c44620f29f4509	yes the send reached the terminal and the provider returned a typed usage_limit class	yes named instance p3047n sole driver; posture: agent-home credential SYMLINKED to the operator existing credential (no copy/mint/rotate)	2026-08-28 18:52:38 CEST	POD-3047
